url,email,sdas
cnetdownload.com,403,Forbidden
codewalkers.com,200,OK
codingforums.com,301,Moved Permanently
computerandvideogames.com,301,Moved Permanently
computeruser.com,301,Moved Permanently
consumerelectronicsnet.com,200,OK
coolestnewtech.com,200,OK
cracked.com,301,Moved Permanently
csmonitor.com,301,Moved Permanently
cultofmac.com,301,Moved Permanently
curse.com,301,Moved Permanently
d-addicts.com,301,Moved Permanently
dailygalaxy.com,301,Moved Permanently
dailymobile.net,301,Moved Permanently
dailymobile.se,301,Moved Permanently
dashhacks.com,301,Moved Permanently
depositfiles.com,200,OK
designntrend.com,301,Moved Permanently
desktoplinuxreviews.com,200,OK
devarticles.com,301,Moved Permanently
devhardware.com,301,Moved Permanently
deviceplanet.net,200,OK
devshed.com,301,Moved Permanently
digitalhome.ca,301,Moved Permanently
digitalhomes.ca,200,OK
digitalmedianet.com,200,OK
digitalspy.com.au,301,Moved Permanently
digitaltrends.com,301,Moved Permanently
disciplesofuecker.com,200,OK
discovermagazine.com,200,OK
download.com,301,Moved Permanently
dramasonlie.com,301,Moved Permanently
droid-life.com,301,Moved Permanently
droidreport.com,301,Moved Permanently
ebuddy.com,200,OK
ecoustics.com,301,Moved Permanently
edtechpost.com,200,OK
ehow.com,301,Moved Permanently
eidern.com,301,Moved Permanently
elecam.org,200,OK
elephantcam.net,200,OK
elephantswithoutborders.com,200,OK
elephantswithoutborders.org,200,OK
elgurudigital.com,200,OK
elmundodigital.net,302,Found
emanueleferonanto.com,301,Moved Permanently
emanueleferonato.com,301,Moved Permanently
embedr.com,200,OK
engadget.com,301,Moved Permanently
entrepreneur-resources.net,405,Method Not Allowed
entrepreneur.com,301,Moved Permanently
epicfail.com,301,Moved Permanently
finditintechnology.com,301,Moved Permanently
fixya.com,301,Moved Permanently
fliiby.com,301,Moved Permanently
flvto.com,302,Moved Temporarily
freecookinggames.net,302,Found
freedressupgames.net,302,Moved Temporarily
freegames.net,301,Moved Permanently
freestream.com,301,Moved Permanently
fromquarkstoquasars.com,301,Moved Permanently
fxnewscall.com,403,Forbidden
gadgether.com,200,OK
gadgetherald.com,200,OK
gadgetnator.com,200,OK
gadgetpro.com,500,Domain Not Found
gadgetreview.com,301,Moved Permanently
game-debate.com,301,Moved Permanently
gameguru.in,301,Moved Permanently
gamenguide.com,301,Moved Permanently
gameshog.com,301,Moved Permanently
gameutt.com,301,Moved Permanently
geardiary.com,200,OK
getjar.mobi,301,Moved Permanently
giantfreakinrobot.com,301,Moved Permanently
girlgames247.com,302,Moved Temporarily
gizmag.com,301,Moved Permanently
gizmodo.com,200,OK
gizmorati.com,200,OK
globaltechspot.com,200,OK
gottabemobile.com,301,Moved Permanently
greatpreneurs.com,200,OK
hobbydigital.com,301,Moved Permanently
howtodiytube.com,301,Moved Permanently
ibtimes.co.in,301,Moved Permanently
ibtimes.co.uk,301,Moved Permanently
ibtimes.com.au,301,Moved Permanently
idesigntimes.com,301,Moved Permanently
idgtechmobileburn.com,301,Moved Permanently
ilocalbook.com,200,OK
ilovespeed.com,200,OK
imore.com,301,Moved Permanently
informationweek.com,302,Found
instylegadgets.com,302,Found
intelextrememasters.com,200,OK
iphone-squad.com,302,Found
iphoneate.com,200,OK
iqfoundry.com,200,OK
isciencetimes.com,301,Moved Permanently
ismashphone.com,200,OK
itbusinessnet.com,200,OK
ivank.net,301,Moved Permanently
jason-ism.com,200,OK
java-forums.org,301,Moved Permanently
java.com,302,Moved Temporarily
kioskea.net,301,Moved Permanently
kiplinger.com,301,Moved Permanently
knctr.com,200,OK
knowyourmeme.com,403,Forbidden
laptopmag.com,301,Moved Permanently
latinospost.com,301,Moved Permanently
layoutjelly.com,301,Moved Permanently
lenovo.com,301,Moved Permanently
lifehacker.com,200,OK
linkcollider.com,301,Moved Permanently
linkedin.com,301,Moved Permanently
linuxbsdos.com,200,OK
linuxforums.org,200,OK
livescience.com,301,Moved Permanently
livestream.com,200,OK
lolking.net,301,Moved Permanently
maclife.com,301,Moved Permanently
macnn.com,302,Found
macrumors.com,301,Moved Permanently
macworld.com,301,Moved Permanently
magnify.net,302,Found
majorgeeks.com,302,Moved Temporarily
maketecheasier.com,301,Moved Permanently
makeuseof.com,301,Moved Permanently
manufacturing.net,301,Moved Permanently
maximumpc.com,301,Moved Permanently
mediabrix.com,200,OK
mediashakers.com,200,OK
mensnetworknews.com,403,Forbidden
metacafe.com,301,Moved Permanently
minecraftdl.com,301,Moved Permanently
mobileburn.com,301,Moved Permanently
mobilenapps.com,301,Moved Permanently
mocospace.com,301,Moved Permanently
moddb.com,301,Moved Permanently
motdgd.com,200,OK
movienewsguide.com,403,Forbidden
musicfeeds.com.au,200,OK
mytechguide.org,301,Moved Permanently
neoseeker.com,301,Moved Permanently
newsarama.com,301,Moved Permanently
newscanary.com,200,OK
newsinc.com,301,Moved Permanently
newsmediacorporation.com,200,OK
newsnow.co.uk,301,Moved Permanently
nk.pl,403,Forbidden
nspiremarketing.com,200,OK
onelouder.com,500,Internal Server Error
opera.com,301,Moved Permanently
opposingviews.com,301,Moved Permanently
orange.co.uk,301,Moved Permanently
paltalk.com,200,OK
pando.com,301,Moved Permanently
pc-addicts.com,200,OK
pc-advisor.co.uk,302,Found
pcadvisor.co.uk,301,Moved Permanently
pcgamer.com,301,Moved Permanently
pcmag.com,301,Moved Permanently
pcwelt.de,301,Moved Permanently
pcworld.com,301,Moved Permanently
pdaphonehome.com,301,Moved Permanently
phonearena.com,301,Moved Permanently
phonedog.com,301,Moved Permanently
phys.org,200,OK
pitchero.com,301,Moved Permanently
planetminecraft.com,403,Forbidden
pocketables.com,301,Moved Permanently
popsci.com,403,Forbidden
popyard.com,200,OK
powershow.com,301,Moved Permanently
product-reviews.net,301,Moved Permanently
programming4.us,200,OK
quickpwn.com,302,Moved Temporarily
radioloyalty.com,301,Moved Permanently
ramp.com,301,Moved Permanently
ranking-higher-seo.com,200,OK
real.com,301,Moved Permanently
redstate.com,301,Moved Permanently
reference.com,301,Moved Permanently
resource-packs.com,200,OK
retrevo.com,405,Request method 'HEAD' not supported
reviewed.com,301,Moved Permanently
rss2search.com,302,Moved Temporarily
scienceworldreport.com,301,Moved Permanently
scripts.com,301,Moved Permanently
seochat.com,301,Moved Permanently
skyscraperpage.com,200,OK
slashdot.org,200,OK
slideshare.net,301,Moved Permanently
smartphoneforums.com,301,Moved Permanently
smilebox.com,301,Moved Permanently
soft32.com,301,Moved Permanently
softonic.com,301,Moved Permanently
softonic.fr,301,Moved Permanently
softwaretechzone.com,301,Moved Permanently
sourceforge.net,200,OK
space.com,301,Moved Permanently
startuptunes.com,200,OK
survivingcollege.com,301,Moved Permanently
swishtalk.com,301,Moved Permanently
t3.com,301,Moved Permanently
tablettechzone.com,301,Moved Permanently
talktalk.co.uk,301,Moved Permanently
tech-recipes.com,301,Moved Permanently
techandgadgetnews.com,200,OK
techconsumer.com,301,Moved Permanently
techcrunch.com,200,OK
techdirt.com,301,Moved Permanently
techhd.tv,200,OK
techhive.com,301,Moved Permanently
techhog.com,301,Moved Permanently
techinfodiary.com,302,Found
techlore.com,200,OK
technicultr.com,301,Moved Permanently
technobuffaloreviewpod.com,301,Moved Permanently
technologycurrent.com,200,OK
technorati.com,403,Your user-agent is disalllowed.  Please contact via a different client configuration if you believe that this is a mistake.
techradar.com,301,Moved Permanently
techrepublic.com,301,Moved Permanently
techsatish.net,301,Moved Permanently
techshout.com,301,Moved Permanently
techsocialites.com,200,OK
techsupportforum.com,301,Moved Permanently
techtechbuzz.com,200,OK
techtonic.co,200,OK
tgdaily.com,301,Moved Permanently
thebitbag.com,301,Moved Permanently
thegameraccess.com,301,Moved Permanently
thehumanmanualonline.com,302,Found
thelosangelespost.org,301,Moved Permanently
themactrack.com,200,OK
theminutenews.com,200,OK
thenextweb.com,200,OK
thepregnancyzone.com,301,Moved Permanently
thetelegraphandargus.co.uk,301,Moved Permanently
theunlockr.com,200,OK
thinkcomputers.org,301,Moved Permanently
three.co.uk,301,Moved Permanently
timesofindia.com,301,Moved Permanently
timesofisrael.com,301,Moved Permanently
tinycomb.com,200,OK
tivocommunity.com,403,Forbidden
todayonline.com,302,Redirect
tomshardware.co.uk,301,Moved Permanently
tomshardware.com,301,Moved Permanently
toptenreviews.com,301,Moved Permanently
tutorialized.com,200,OK
tweaktown.com,302,Found
twominutestoknow.com,500,Internal Server Error
uhpinions.com,301,Moved Permanently
uncached.com,200,OK
universityherald.com,301,Moved Permanently
untd.com,200,OK
ustream.com,301,Moved Permanently
venturebeat.com,200,OK
videostasher.com,200,OK
virtual-strategy.com,301,Moved Permanently
virtualization.net,301,Moved Permanently
wallinda.com,200,OK
walyou.com,200,OK
webpronews.com,301,Moved Permanently
weightlosstips.com,301,Moved Permanently
whec.com,301,Moved Permanently
whyresearch.com,200,OK
wikigameguides.com,200,OK
wordpress.com,301,Moved Permanently
xbox360iso.com,301,Moved Permanently
xda-developers.com,301,Moved Permanently
xtremedotnettalk.com,200,OK
xtremevbtalk.com,301,Moved Permanently
yankodesign.com,301,Moved Permanently
yealt.com,200,OK
yelp.com,301,Moved Permanently
zdnet.com,301,Moved Permanently
zedge.net,301,Moved Permanently
01zb.com,301,Moved Permanently
0eb.net,301,Moved Permanently
1000goals.com,301,Moved Permanently
1010xl.com,301,Moved Permanently
1011now.com,301,Moved Permanently
1017theteam.com,200,OK
1017theticket.com,301,Moved Permanently
1019thewave.com,200,OK
101greatgoals.com,301,Moved Permanently
101magazine.net,200,OK
101thefox.com,301,Moved Permanently
101thefox.net,301,Moved Permanently
1021thefox.com,301,Moved Permanently
1027thevibe.com,301,Moved Permanently
1029bobfm.com,301,Moved Permanently
1029thehog.com,200,OK
102thebear.com,301,Moved Permanently
1031theteam.com,301,Moved Permanently
1033thevibe.com,301,Moved Permanently
1037online.com,200,OK
1037theloon.com,200,OK
1039wfas.com,200,OK
1039wvbo.com,301,Moved Permanently
103gbfrocks.com,200,OK
103wjod.com,200,OK
1041kxdd.com,302,Found
1045theteam.com,200,OK
1045wjjk.com,301,Moved Permanently
1049classichits.com,301,Moved Permanently
1051charliefm.com,301,Moved Permanently
1051jackfm.com,301,Moved Permanently
1053thebear.com,301,Moved Permanently
1055frank.com,301,Moved Permanently
1055triplem.com,302,Found
1057bobfm.com,301,Moved Permanently
1057thefan.com,301,Moved Permanently
1057thexrocks.com,301,Moved Permanently
1059themountain.com,200,OK
1061evansville.com,200,OK
1063frankfm.com,301,Moved Permanently
1063thesurf.com,200,OK
1065thecoyote.com,200,OK
1065theticket.com,301,Moved Permanently
1069theeagle.com,301,Moved Permanently
1069thefox.com,200,OK
1070thefan.com,301,Moved Permanently
1071workfm.com,301,Moved Permanently
1075frank.com,301,Moved Permanently
1077thebone.com,301,Moved Permanently
1079ishot.com,200,OK
107countrypsk.com,200,OK
107thebone.fm,404,Not Found
108.com,463,
1080thefan.com,302,Found
1150kago.com,301,Moved Permanently
1170kfaq.com,301,Moved Permanently
11alive.com,301,Moved Permanently
11points.com,301,Moved Permanently
1230foxsports.com,301,Moved Permanently
123people.ch,410,Gone
1250sportsradio.com,302,Found
1280wnam.com,301,Moved Permanently
1290kkar.com,301,Moved Permanently
1290wlby.com,301,Moved Permanently
12thmanrising.com,200,OK
1310kzrg.com,302,Found
1320wjas.com,200,OK
1340espnradio.com,302,Found
1350krnt.com,302,Found
1380kcim.com,301,Moved Permanently
1390kjox.com,301,Moved Permanently
1390thefan.com,200,OK
1430wnav.com,200,OK
1440wrok.com,200,OK
1450amespn.com,200,OK
1490womi.com,301,Moved Permanently
1490wosh.com,301,Moved Permanently
14news.com,301,Moved Permanently
1510.com,200,OK
1510weal.com,302,Found
